repo_full_name,contributor_login,contributions,type
pallets/flask,jfinkels,5,User
pallets/flask,max demian,5,Anonymous
pallets/flask,svenstaro,5,User
pallets/flask,s0undt3ch,5,User
pallets/flask,atdt,5,User
pallets/flask,ivanovmg,5,User
pallets/flask,Matt Wright,5,Anonymous
pallets/flask,mwcampbell,5,User
pallets/flask,justquick,5,User
pallets/flask,homeworkprod,5,User
pallets/flask,Jimmy McCarthy,5,Anonymous
pallets/flask,dhaaker,5,User
pallets/flask,doobeh,5,User
pallets/flask,adamzap,5,User
pallets/flask,Akasurde,4,User
pallets/flask,garbados,4,User
pallets/flask,MikeTheReader,4,User
pallets/flask,njl,4,User
pallets/flask,Jalkhov,4,User
pallets/flask,RaHus,4,User
pallets/flask,cerickson,4,User
pallets/flask,wilsaj,4,User
pallets/flask,hyunchel,4,User
pallets/flask,Alex Couper,4,Anonymous
pallets/flask,aphedges,4,User
pallets/flask,antlarr,4,User
pallets/flask,bsutherland,4,User
pallets/flask,Diggsey,4,User
pallets/flask,dmishe,4,User
pallets/flask,EtiennePelletier,4,User
pallets/flask,FND,4,Anonymous
pallets/flask,Kevin Burke,4,Anonymous
pallets/flask,lgiordani,4,User
pallets/flask,alekzvik,3,User
pallets/flask,rzelayafavila,3,User
pallets/flask,Sebastien Estienne,3,Anonymous
pallets/flask,sourya,3,User
pallets/flask,ThomasWaldmann,3,Anonymous
pallets/flask,tony,3,User
pallets/flask,Yourun-proger,3,User
pallets/flask,mrluanma,3,User
pallets/flask,awsum,3,User
pallets/flask,jackwardell,3,User
pallets/flask,jgraeme,3,User
pallets/flask,mvantellingen,3,User
pallets/flask,wimglenn,3,User
pallets/flask,drewja,3,User
pallets/flask,tirkarthi,3,User
pallets/flask,lobeck,3,User
pallets/flask,accraze,3,User
pallets/flask,EnTeQuAk,3,User
pallets/flask,davebarkerxyz,3,User
psf/requests,Kenneth Reitz,2141,Anonymous
psf/requests,kennethreitz,1006,User
psf/requests,Lukasa,610,User
psf/requests,sigmavirus24,395,User
psf/requests,nateprewitt,305,User
psf/requests,slingamn,45,User
psf/requests,BraulioVM,43,User
psf/requests,dependabot[bot],36,Bot
psf/requests,dpursehouse,31,User
psf/requests,jgorset,26,User
psf/requests,daftshady,24,User
psf/requests,jerem,23,User
psf/requests,gazpachoking,21,User
psf/requests,Ian Cordasco,21,Anonymous
psf/requests,idan,20,User
psf/requests,schlamar,20,User
psf/requests,jdufresne,18,User
psf/requests,Mike Waldner,18,Anonymous
psf/requests,kevinburke,17,User
psf/requests,kmadac,16,User
psf/requests,aless10,15,User
psf/requests,graingert,14,User
psf/requests,sethmlarson,14,User
psf/requests,jasongrout,12,User
psf/requests,mjpieters,12,User
psf/requests,davidfischer,11,User
