repo_full_name,package_name,osv_id,severity_class,severity_raw,published,fix_version,fix_date,time_to_fix_days,is_fixed,aliases,duration_days,severity_missing
tensorflow/tensorflow,tensorflow,GHSA-w58w-79xv-6vcj,high,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:H,2022-11-21T20:39:20Z,2.10.1,2022-11-16 20:05:06.684815+00:00,-5.023765222048612,1,BIT-tensorflow-2022-41883;CVE-2022-41883,-5.023765222048612,0
tensorflow/tensorflow,tensorflow,GHSA-w5gh-2wr2-pm6g,critical,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,2020-09-25T18:28:40Z,1.15.4,2020-09-24 18:38:59.375441+00:00,-0.9928313027662038,1,BIT-tensorflow-2020-15206;CVE-2020-15206;PYSEC-2020-129;PYSEC-2020-286;PYSEC-2020-321,-0.9928313027662038,0
tensorflow/tensorflow,tensorflow,GHSA-w62h-8xjm-fv49,critical,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-09-16T21:19:15Z,2.7.2,2022-05-16 18:54:48.982865+00:00,-123.10030112424768,1,BIT-tensorflow-2022-35987;CVE-2022-35987,-123.10030112424768,0
tensorflow/tensorflow,tensorflow,GHSA-w74j-v8xh-3w5h,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2021-08-25T14:42:09Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.701780758599538,1,BIT-tensorflow-2021-37667;CVE-2021-37667;PYSEC-2021-289;PYSEC-2021-580;PYSEC-2021-778,-14.701780758599538,0
tensorflow/tensorflow,tensorflow,GHSA-wc4g-r73w-x8mm,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,2022-02-09T23:54:51Z,2.5.3,2022-02-02 16:55:58.910924+00:00,-7.290880660601852,1,BIT-tensorflow-2022-23563;CVE-2022-23563;PYSEC-2022-127;PYSEC-2022-72,-7.290880660601852,0
tensorflow/tensorflow,tensorflow,GHSA-wcv5-qrj6-9pfm,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:21:12Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.27798672493056,1,BIT-tensorflow-2021-29520;CVE-2021-29520;PYSEC-2021-157;PYSEC-2021-448;PYSEC-2021-646,25.27798672493056,0
tensorflow/tensorflow,tensorflow,GHSA-wcv5-vrvr-3rx2,medium,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2022-02-09T23:34:06Z,2.5.3,2022-02-02 16:55:58.910924+00:00,-7.27647093837963,1,,-7.27647093837963,0
tensorflow/tensorflow,tensorflow,GHSA-wf5p-c75w-w3wh,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2021-08-25T14:39:36Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.700009925266205,1,BIT-tensorflow-2021-37689;CVE-2021-37689;PYSEC-2021-311;PYSEC-2021-602;PYSEC-2021-800,-14.700009925266205,0
tensorflow/tensorflow,tensorflow,GHSA-whr9-vfh2-7hm6,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:L,2021-05-21T14:25:28Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.275023761967592,1,BIT-tensorflow-2021-29571;CVE-2021-29571;PYSEC-2021-208;PYSEC-2021-499;PYSEC-2021-697,25.275023761967592,0
tensorflow/tensorflow,tensorflow,GHSA-wm93-f238-7v37,high,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2022-02-10T00:32:44Z,2.5.3,2022-02-02 16:55:58.910924+00:00,-7.317188530972222,1,BIT-tensorflow-2022-23576;CVE-2022-23576;PYSEC-2022-140;PYSEC-2022-85,-7.317188530972222,0
tensorflow/tensorflow,tensorflow,GHSA-wp3c-xw9g-gpcg,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:25:16Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.275162650856483,1,BIT-tensorflow-2021-29567;CVE-2021-29567;PYSEC-2021-204;PYSEC-2021-495;PYSEC-2021-693,25.275162650856483,0
tensorflow/tensorflow,tensorflow,GHSA-wp77-4gmm-7cq8,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2021-08-25T14:43:29Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.702706684525465,1,BIT-tensorflow-2021-37648;CVE-2021-37648;PYSEC-2021-270;PYSEC-2021-561;PYSEC-2021-759,-14.702706684525465,0
